,alt,lat,long,time,trajIndex
277,0.0,32.177993571707304,34.91226221833925,66,4
278,0.0,32.1779874291339,34.912233661515224,68,4
279,0.0,32.177985027419425,34.91226298183431,70,4
280,0.0,32.17798262570495,34.91229230215262,72,4
281,0.0,32.177988625192164,34.91232090099915,74,4
282,0.0,32.17799462467937,34.91234949984756,76,4
283,0.0,32.17800062416657,34.912378098697836,78,4
284,0.0,32.17800662365377,34.91240669754999,80,4
285,0.0,32.17801262314096,34.91243529640402,82,4
286,0.0,32.17801862262814,34.912463895259926,84,4
287,0.0,32.17801488664072,34.91249302187711,86,4
288,0.0,32.17801115065329,34.9125221484931,88,4
289,0.0,32.17798623552472,34.91251907496121,90,4
290,0.0,32.17796132039605,34.912516001430156,92,4
291,0.0,32.17793640526728,34.91251292789994,94,4
292,0.0,32.1779316506809,34.912541848510664,96,4
293,0.0,32.177939421977165,34.912569851388014,98,4
294,0.0,32.17794719327343,34.912597854267744,100,4
295,0.0,32.17795496456968,34.91262585714985,102,4
296,0.0,32.17796273586591,34.91265386003434,104,4
297,0.0,32.17797050716214,34.912681862921204,106,4
298,0.0,32.17796969592078,34.91271130346424,108,4
299,0.0,32.17796888467942,34.91274074400702,110,4
300,0.0,32.177968073438066,34.91277018454953,112,4
301,0.0,32.17796726219672,34.912799625091786,114,4
302,0.0,32.17796645095536,34.91282906563378,116,4
303,0.0,32.177965639714,34.91285850617551,118,4
304,0.0,32.177954475086416,34.91288487523935,120,4
305,0.0,32.177989189779396,34.91251701759965,0,5
306,0.0,32.17801416099505,34.912519379457834,2,5
307,0.0,32.17799005499136,34.91252739710191,4,5
308,0.0,32.177965948987584,34.91253541474387,6,5
309,0.0,32.17794184298372,34.91254343238373,8,5
310,0.0,32.177928560912754,34.91256840762201,10,5
311,0.0,32.177929997128,34.91259781515393,12,5
312,0.0,32.17793143334323,34.91262722268632,14,5
313,0.0,32.17793286955847,34.91265663021917,16,5
314,0.0,32.177934305773704,34.91268603775247,18,5
315,0.0,32.17793574198893,34.912715445286246,20,5
316,0.0,32.17793717820417,34.912744852820474,22,5
317,0.0,32.1779386144194,34.91277426035517,24,5
318,0.0,32.17794005063463,34.91280366789032,26,5
319,0.0,32.17794148684987,34.912833075425944,28,5
320,0.0,32.177942923065096,34.91286248296202,30,5
321,0.0,32.177927987285926,34.912886131413195,32,5
322,0.0,32.17793415540383,34.91285758222085,34,5
323,0.0,32.177940323521725,34.9128290330266,36,5
324,0.0,32.177946491639624,34.91280048383041,38,5
325,0.0,32.17795265975751,34.9127719346323,40,5
326,0.0,32.17795882787539,34.912743385432265,42,5
327,0.0,32.17796499599327,34.9127148362303,44,5
328,0.0,32.17797116411114,34.91268628702642,46,5
329,0.0,32.177966675292176,34.912657307747295,48,5
330,0.0,32.1779621864732,34.9126283284696,50,5
331,0.0,32.17795769765423,34.91259934919333,52,5
332,0.0,32.17795320883525,34.91257036991848,54,5
333,0.0,32.17794872001626,34.912541390645046,56,5
334,0.0,32.17794423119728,34.91251241137304,58,5
335,0.0,32.17793974237829,34.91248343210245,60,5
336,0.0,32.177935253559305,34.91245445283329,62,5
337,0.0,32.17795870670797,34.91244409869168,64,5
338,0.0,32.177982159856555,34.91243374454743,66,5
339,0.0,32.17800561300505,34.91242339040052,68,5
340,0.0,32.17800973950186,34.912394336745855,70,5
341,0.0,32.17801386599867,34.912365283089876,72,5
342,0.0,32.17801799249548,34.91233622943259,74,5
343,0.0,32.17802211899228,34.912307175774,76,5
344,0.0,32.17802624548908,34.91227812211409,78,5
345,0.0,32.178019893000894,34.912249628841124,80,5
346,0.0,32.17800436209207,34.91222651644011,82,5
347,0.0,32.17802455705298,34.91224394686707,84,5
348,0.0,32.17799956104407,34.91224198074022,86,5
349,0.0,32.17802158467746,34.91222794205177,88,5
350,0.0,32.17802423389696,34.912257232894795,90,5
351,0.0,32.17801596376451,34.912285037565404,92,5
352,0.0,32.17800769363205,34.9123128422335,94,5
353,0.0,32.17799942349957,34.91234064689908,96,5
354,0.0,32.17799115336709,34.91236845156215,98,5
355,0.0,32.17798288323459,34.912396256222706,100,5
356,0.0,32.17797804761785,34.912425158268164,102,5
357,0.0,32.1779732120011,34.91245406031209,104,5
358,0.0,32.17796837638436,34.91248296235449,106,5
359,0.0,32.1779635407676,34.91251186439536,108,5
360,0.0,32.17795870515084,34.91254076643471,110,5
361,0.0,32.17795386953408,34.91256966847252,112,5
362,0.0,32.1779490339173,34.91259857050881,114,5
363,0.0,32.17794419830052,34.912627472543576,116,5
364,0.0,32.177939362683745,34.91265637457681,118,5
365,0.0,32.17793452706697,34.91268527660852,120,5
366,0.0,32.17801246875031,34.9123979512732,0,6
367,0.0,32.1780015043883,34.91242443627001,2,6
368,0.0,32.17799054002627,34.91245092126365,4,6
369,0.0,32.17797957566423,34.91247740625411,6,6
370,0.0,32.17796861130217,34.91250389124141,8,6
371,0.0,32.177957646940094,34.912530376225526,10,6
372,0.0,32.17794668257799,34.91255686120647,12,6
373,0.0,32.17793571821586,34.912583346184235,14,6
374,0.0,32.177942725872775,34.91261162628066,16,6
375,0.0,32.17794973352968,34.91263990637925,18,6
376,0.0,32.17795674118658,34.912668186480005,20,6
377,0.0,32.177963748843474,34.91269646658292,22,6
378,0.0,32.17797075650036,34.912724746688006,24,6
379,0.0,32.17795972172458,34.912751191212195,26,6
380,0.0,32.17794868694877,34.9127776357332,28,6
381,0.0,32.17793765217295,34.91280408025101,30,6
382,0.0,32.17793080895224,34.91283241596235,32,6
383,0.0,32.17792757336451,34.91286162522752,34,6
384,0.0,32.17794388495438,34.91288398176482,36,6
385,0.0,32.17796784362387,34.91287537520532,38,6
386,0.0,32.17797202220422,34.912846331855995,40,6
387,0.0,32.17796543245349,34.91281791319363,42,6
388,0.0,32.17795884270275,34.9127894945333,44,6
389,0.0,32.177952252952004,34.91276107587502,46,6
390,0.0,32.17794566320125,34.91273265721879,48,6
391,0.0,32.17793907345049,34.91270423856461,50,6
392,0.0,32.17793248369971,34.912675819912465,52,6
393,0.0,32.177929049971944,34.912646641936526,54,6
394,0.0,32.177940379755505,34.91262037044965,56,6
395,0.0,32.17795170953905,34.912594098959524,58,6
396,0.0,32.17796303932256,34.91256782746614,60,6
397,0.0,32.17797436910606,34.91254155596951,62,6
398,0.0,32.177985698889536,34.91251528446963,64,6
399,0.0,32.17799702867299,34.91248901296649,66,6
400,0.0,32.17800835845642,34.9124627414601,68,6
401,0.0,32.178019688239836,34.91243646995045,70,6
402,0.0,32.178018300510175,34.912465880729485,72,6
403,0.0,32.178016912780514,34.91249529150807,74,6
404,0.0,32.17801552505085,34.91252470228621,76,6
405,0.0,32.17800795920868,34.91249662170878,78,6
406,0.0,32.17800039336651,34.91246854113367,80,6
407,0.0,32.17799282752433,34.91244046056088,82,6
408,0.0,32.177985261682124,34.91241237999041,84,6
409,0.0,32.17799463052976,34.912385061389735,86,6
410,0.0,32.178003999377374,34.91235774278626,88,6
411,0.0,32.178013368224974,34.91233042417999,90,6
412,0.0,32.17802273707256,34.91230310557093,92,6
413,0.0,32.17801657661925,34.91227455406313,94,6
414,0.0,32.17801041616594,34.912246002557254,96,6
415,0.0,32.177991632275656,34.91222651255553,98,6
416,0.0,32.1779863722232,34.912255311937514,100,6
417,0.0,32.17799772480119,34.91222905404184,102,6
418,0.0,32.17802274037374,34.912227468797575,104,6
419,0.0,32.1779985154587,34.91223497461072,106,6
420,0.0,32.17798647908738,34.91226080804626,108,6
421,0.0,32.17799526153175,34.912288394661054,110,6
422,0.0,32.17800404397612,34.912315981278496,112,6
423,0.0,32.17801282642046,34.91234356789859,114,6
424,0.0,32.178021608864796,34.91237115452133,116,6
425,0.0,32.178019730498534,34.91240052761335,118,6
426,0.0,32.17801785213227,34.91242990070477,120,6
427,0.0,32.17798142339203,34.912391392309225,0,7
428,0.0,32.177997011411065,34.912414451489944,2,7
429,0.0,32.17801259943006,34.912437510674586,4,7
430,0.0,32.178019008239296,34.912465986503406,6,7
431,0.0,32.17801992864424,34.91249542262357,8,7
432,0.0,32.17802084904918,34.912524858744035,10,7
433,0.0,32.17799580617863,34.9125256485609,12,7
434,0.0,32.177970763307975,34.91252643837755,14,7
435,0.0,32.17794572043721,34.91252722819398,16,7
436,0.0,32.17793019413932,34.912550344858985,18,7
437,0.0,32.17792846628317,34.91257973069227,20,7
438,0.0,32.17792930933114,34.912550291397956,22,7
439,0.0,32.17793015237911,34.91252085210337,24,7
440,0.0,32.17793099542708,34.91249141280852,26,7
441,0.0,32.17793183847505,34.912461973513395,28,7
442,0.0,32.17795449413386,34.912449401929386,30,7
443,0.0,32.17797714979259,34.91243683034226,32,7
444,0.0,32.177999805451236,34.91242425875202,34,7
445,0.0,32.17802246110979,34.91241168715867,36,7
446,0.0,32.17802114055664,34.91244110221433,38,7
447,0.0,32.17801982000348,34.912470517269576,40,7
448,0.0,32.17801849945032,34.91249993232439,42,7
449,0.0,32.17801717889715,34.91252934737878,44,7
450,0.0,32.17799696008052,34.91251195522933,46,7
451,0.0,32.17797674126383,34.91249456308372,48,7
452,0.0,32.177956522447076,34.912477170941955,50,7
453,0.0,32.17793630363025,34.912459778804035,52,7
454,0.0,32.17793585901919,34.912489230144935,54,7
455,0.0,32.17793541440814,34.91251868148569,56,7
456,0.0,32.17793496979708,34.91254813282631,58,7
457,0.0,32.17793452518602,34.91257758416678,60,7
458,0.0,32.17793408057496,34.91260703550711,62,7
459,0.0,32.177933635963896,34.9126364868473,64,7
460,0.0,32.17793319135284,34.91266593818734,66,7
461,0.0,32.17793274674178,34.91269538952724,68,7
462,0.0,32.17793230213072,34.91272484086699,70,7
463,0.0,32.17793185751966,34.91275429220661,72,7
464,0.0,32.1779314129086,34.91278374354608,74,7
465,0.0,32.17793096829754,34.91281319488541,76,7
466,0.0,32.177930523686484,34.91284264622459,78,7
467,0.0,32.17793007907542,34.912872097563636,80,7
468,0.0,32.1779529011927,34.91288424577094,82,7
469,0.0,32.17792888986818,34.91287584453103,84,7
470,0.0,32.177931196421405,34.9128465136688,86,7
471,0.0,32.177933502974625,34.91281718280584,88,7
472,0.0,32.17793580952784,34.912787851942134,90,7
473,0.0,32.17793811608106,34.9127585210777,92,7
474,0.0,32.17794042263427,34.91272919021251,94,7
475,0.0,32.1779427291875,34.91269985934659,96,7
476,0.0,32.17794503574072,34.91267052847993,98,7
477,0.0,32.17794734229393,34.91264119761253,100,7
478,0.0,32.17794964884715,34.91261186674439,102,7
479,0.0,32.17795195540035,34.91258253587551,104,7
480,0.0,32.17795426195357,34.91255320500589,106,7
481,0.0,32.17795656850678,34.91252387413554,108,7
482,0.0,32.17795887506,34.912494543264444,110,7
483,0.0,32.177961181613206,34.912465212392604,112,7
484,0.0,32.17797776313709,34.912443132086814,114,7
485,0.0,32.17799434466093,34.912421051777024,116,7
486,0.0,32.17801092618474,34.912398971463226,118,7
487,0.0,32.17802486635813,34.91237449706823,120,7
488,0.0,32.17799920713466,34.91248759759248,0,8
489,0.0,32.17802246720373,34.912476657861355,2,8
490,0.0,32.17801092605763,34.91245051385365,4,8
491,0.0,32.17799938491152,34.91242436984924,6,8
492,0.0,32.17798784376538,34.91239822584813,8,8
493,0.0,32.177984281922015,34.91236906909506,10,8
494,0.0,32.177980720078644,34.91233991234313,12,8
495,0.0,32.17799390824739,34.91231486838958,14,8
496,0.0,32.1780070964161,34.91228982443242,16,8
497,0.0,32.17802028458478,34.91226478047165,18,8
498,0.0,32.17801904968477,34.912235360273385,20,8
499,0.0,32.17799434714881,34.912240262288684,22,8
500,0.0,32.17799451892545,34.912269717595265,24,8
501,0.0,32.177994690702086,34.912299172901896,26,8
502,0.0,32.177994862478734,34.912328628208584,28,8
503,0.0,32.17799503425537,34.91235808351533,30,8
504,0.0,32.17799520603201,34.91238753882213,32,8
505,0.0,32.17799537780864,34.91241699412898,34,8
506,0.0,32.17799554958528,34.91244644943589,36,8
507,0.0,32.17799572136193,34.912475904742855,38,8
508,0.0,32.17799589313857,34.91250536004988,40,8
509,0.0,32.178020102388906,34.91251293541424,42,8
510,0.0,32.17800728852388,34.9124876242422,44,8
511,0.0,32.177994474658824,34.91246231307371,46,8
512,0.0,32.17798166079374,34.91243700190877,48,8
513,0.0,32.177960254861105,34.912452304599654,50,8
514,0.0,32.17793884892839,34.91246760728696,52,8
515,0.0,32.177930315196605,34.91249530159109,54,8
516,0.0,32.17793613405798,34.912523951971835,56,8
517,0.0,32.17794195291935,34.912552602354396,58,8
518,0.0,32.17794777178071,34.91258125273878,60,8
519,0.0,32.177953590642076,34.91260990312499,62,8
520,0.0,32.17795940950342,34.91263855351301,64,8
521,0.0,32.177965228364776,34.91266720390286,66,8
522,0.0,32.177971047226116,34.91269585429454,68,8
523,0.0,32.17796465653012,34.91272433573584,70,8
524,0.0,32.177958265834114,34.91275281717515,72,8
525,0.0,32.1779518751381,34.91278129861247,74,8
526,0.0,32.17794548444207,34.9128097800478,76,8
527,0.0,32.17793909374603,34.91283826148115,78,8
528,0.0,32.177932703050004,34.9128667429125,80,8
529,0.0,32.17792806368824,34.91283779644294,82,8
530,0.0,32.177928009227024,34.912867252351006,84,8
531,0.0,32.177951379855415,34.91287786131448,86,8
532,0.0,32.177970682058636,34.912859084507346,88,8
533,0.0,32.177971627680044,34.912829649507735,90,8
534,0.0,32.177972573301446,34.912800214507826,92,8
535,0.0,32.17797351892285,34.91277077950761,94,8
536,0.0,32.17795729589693,34.912748334048786,96,8
537,0.0,32.17794107287097,34.91272588859394,98,8
538,0.0,32.17793014534155,34.91269938258092,100,8
539,0.0,32.177936441053035,34.912670871919396,102,8
540,0.0,32.177942736764514,34.912642361255905,104,8
541,0.0,32.17794903247598,34.91261385059046,106,8
542,0.0,32.177955328187444,34.912585339923055,108,8
543,0.0,32.1779616238989,34.91255682925368,110,8
544,0.0,32.17796791961035,34.91252831858235,112,8
545,0.0,32.177974215321804,34.91249980790906,114,8
546,0.0,32.17798051103324,34.9124712972338,116,8
547,0.0,32.17798680674468,34.91244278655658,118,8
548,0.0,32.1779931024561,34.9124142758774,120,8
549,0.0,32.178012347017265,34.91235494479815,0,9
