mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:bf:be,1488809478331517,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:b9,1488809478331516,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:aa,1488809479090280,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:87,1488809479090281,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:9b,1488809479090281,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:94,1488809479090281,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:4f,1488809479090282,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:31,1488809479397248,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:c3:62:d9,1488809479397248,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:af,1488809480175407,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:36,1488809480175408,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:96,1488809480175407,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:8f,1488809480175408,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:04,1488809480175409,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:18,1488809480933601,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:87,1488809480933602,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c0:b3,1488809480933601,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:69:d5,1488809480933602,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:67:3c,1488809480933602,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:b4,1488809481419941,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6c:19,1488809481419940,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:69:a8,1488809481419940,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:67:37,1488809481854790,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:4e,1488809481854790,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:c1:99,1488809481854791,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:6a:fc,1488809482224973,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
44:85:00:c5:69:da,1488809482034736,-63,0,0,0,0,738,0,0,SUCCESS,0.00E+00
44:85:00:c5:6b:74,1488809482055806,-72,0,0,0,0,760,0,0,SUCCESS,0.00E+00
44:85:00:c5:6b:83,1488809482224975,0,0,0,0,0,0,0,0,FAILURE,0.00E+00
e4:b3:18:9f:bf:a5,1488809482213709,-75,0,0,0,0,2702,0,0,SUCCESS,0.00E+00
