mac,time,a,b,c,d,e,range,,f,status,g
44:85:00:c5:69:a8,1496395316132775,68,0,0,0,0,540,0,0,SUCCESS,856912662775
44:85:00:c5:67:37,1496395316145249,59,0,0,0,0,624,0,0,SUCCESS,856912675249
e4:b3:18:9f:c1:4e,1496395316284719,0,0,0,0,0,0,0,0,FAILURE,856912814719
e4:b3:18:9f:c1:99,1496395316455488,0,0,0,0,0,0,0,0,FAILURE,856912985488
e4:b3:18:9f:bf:af,1496395317264700,0,0,0,0,0,0,0,0,FAILURE,856913794700
e4:b3:18:9f:c0:36,1496395317264695,0,0,0,0,0,0,0,0,FAILURE,856913794695
e4:b3:18:9f:bf:96,1496395317264691,0,0,0,0,0,0,0,0,FAILURE,856913794691
e4:b3:18:9f:c1:8f,1496395317264683,0,0,0,0,0,0,0,0,FAILURE,856913794683
e4:b3:18:9f:c0:04,1496395317252400,62,0,0,0,0,1407,0,0,SUCCESS,856913782400
e4:b3:18:9f:c0:18,1496395317308018,80,0,0,0,0,-3281,0,0,SUCCESS,856913838018
e4:b3:18:9f:bf:87,1496395317831763,0,0,0,0,0,0,0,0,FAILURE,856914361763
e4:b3:18:9f:c0:b3,1496395317831758,0,0,0,0,0,0,0,0,FAILURE,856914361758
44:85:00:c5:69:d5,1496395317831752,0,0,0,0,0,0,0,0,FAILURE,856914361752
44:85:00:c5:67:3c,1496395317831761,0,0,0,0,0,0,0,0,FAILURE,856914361761
e4:b3:18:9f:bf:b4,1496395317870935,84,0,0,0,0,991,0,0,SUCCESS,856914400934
44:85:00:c5:6c:19,1496395317883870,69,0,0,0,0,918,0,0,SUCCESS,856914413870
44:85:00:c5:69:a8,1496395317908217,71,0,0,0,0,447,0,0,SUCCESS,856914438216
44:85:00:c5:67:37,1496395317920433,62,0,0,0,0,667,0,0,SUCCESS,856914450432
e4:b3:18:9f:c1:4e,1496395318060162,0,0,0,0,0,0,0,0,FAILURE,856914590162
e4:b3:18:9f:c1:99,1496395318236107,0,0,0,0,0,0,0,0,FAILURE,856914766107
e4:b3:18:9f:bf:af,1496395319053370,0,0,0,0,0,0,0,0,FAILURE,856915583370
e4:b3:18:9f:c0:36,1496395319053293,0,0,0,0,0,0,0,0,FAILURE,856915583293
e4:b3:18:9f:bf:96,1496395319053289,0,0,0,0,0,0,0,0,FAILURE,856915583289
e4:b3:18:9f:c1:8f,1496395319053282,0,0,0,0,0,0,0,0,FAILURE,856915583282
e4:b3:18:9f:c0:04,1496395319031885,61,0,0,0,0,1378,0,0,SUCCESS,856915561885
e4:b3:18:9f:c0:18,1496395319092579,80,0,0,0,0,2666,0,0,SUCCESS,856915622579
e4:b3:18:9f:bf:87,1496395319616750,0,0,0,0,0,0,0,0,FAILURE,856916146750
e4:b3:18:9f:c0:b3,1496395319616745,0,0,0,0,0,0,0,0,FAILURE,856916146745
44:85:00:c5:69:d5,1496395319616741,0,0,0,0,0,0,0,0,FAILURE,856916146740
44:85:00:c5:67:3c,1496395319616737,0,0,0,0,0,0,0,0,FAILURE,856916146737
e4:b3:18:9f:bf:b4,1496395319662017,80,0,0,0,0,1025,0,0,SUCCESS,856916192017
44:85:00:c5:6c:19,1496395319675080,70,0,0,0,0,977,0,0,SUCCESS,856916205080
44:85:00:c5:69:a8,1496395319687480,67,0,0,0,0,464,0,0,SUCCESS,856916217480
44:85:00:c5:67:37,1496395319711281,61,0,0,0,0,523,0,0,SUCCESS,856916241280
e4:b3:18:9f:c1:4e,1496395319851245,0,0,0,0,0,0,0,0,FAILURE,856916381245
e4:b3:18:9f:c1:99,1496395320025153,0,0,0,0,0,0,0,0,FAILURE,856916555153
e4:b3:18:9f:bf:af,1496395320735083,0,0,0,0,0,0,0,0,FAILURE,856917265083
e4:b3:18:9f:c0:36,1496395320735078,0,0,0,0,0,0,0,0,FAILURE,856917265078
e4:b3:18:9f:bf:96,1496395320735076,0,0,0,0,0,0,0,0,FAILURE,856917265076
e4:b3:18:9f:c1:8f,1496395320735070,0,0,0,0,0,0,0,0,FAILURE,856917265070
e4:b3:18:9f:c0:04,1496395320723929,63,0,0,0,0,1263,0,0,SUCCESS,856917253929
e4:b3:18:9f:c0:18,1496395320779668,80,0,0,0,0,2759,0,0,SUCCESS,856917309667
e4:b3:18:9f:bf:87,1496395321303636,0,0,0,0,0,0,0,0,FAILURE,856917833636
e4:b3:18:9f:c0:b3,1496395321303632,0,0,0,0,0,0,0,0,FAILURE,856917833632
44:85:00:c5:69:d5,1496395321303623,0,0,0,0,0,0,0,0,FAILURE,856917833623
44:85:00:c5:67:3c,1496395321303621,0,0,0,0,0,0,0,0,FAILURE,856917833620
e4:b3:18:9f:bf:b4,1496395321346909,83,0,0,0,0,1007,0,0,SUCCESS,856917876909
44:85:00:c5:6c:19,1496395321361909,68,0,0,0,0,995,0,0,SUCCESS,856917891909
44:85:00:c5:69:a8,1496395321374540,63,0,0,0,0,417,0,0,SUCCESS,856917904540
44:85:00:c5:67:37,1496395321387227,60,0,0,0,0,735,0,0,SUCCESS,856917917226
e4:b3:18:9f:c1:4e,1496395321527107,0,0,0,0,0,0,0,0,FAILURE,856918057107
e4:b3:18:9f:c1:99,1496395321699044,0,0,0,0,0,0,0,0,FAILURE,856918229044
e4:b3:18:9f:bf:af,1496395322508716,0,0,0,0,0,0,0,0,FAILURE,856919038716
e4:b3:18:9f:c0:36,1496395322508713,0,0,0,0,0,0,0,0,FAILURE,856919038713
e4:b3:18:9f:bf:96,1496395322508708,0,0,0,0,0,0,0,0,FAILURE,856919038707
e4:b3:18:9f:c1:8f,1496395322508701,0,0,0,0,0,0,0,0,FAILURE,856919038701
e4:b3:18:9f:c0:04,1496395322494482,62,0,0,0,0,1292,0,0,SUCCESS,856919024482
e4:b3:18:9f:c0:18,1496395322554859,80,0,0,0,0,2621,0,0,SUCCESS,856919084859
e4:b3:18:9f:bf:87,1496395323078768,0,0,0,0,0,0,0,0,FAILURE,856919608768
e4:b3:18:9f:c0:b3,1496395323078689,0,0,0,0,0,0,0,0,FAILURE,856919608689
44:85:00:c5:69:d5,1496395323078714,0,0,0,0,0,0,0,0,FAILURE,856919608714
44:85:00:c5:67:3c,1496395323078690,0,0,0,0,0,0,0,0,FAILURE,856919608690
e4:b3:18:9f:bf:b4,1496395323123755,80,0,0,0,0,948,0,0,SUCCESS,856919653755
44:85:00:c5:6c:19,1496395323136221,67,0,0,0,0,1118,0,0,SUCCESS,856919666221
44:85:00:c5:69:a8,1496395323149021,62,0,0,0,0,326,0,0,SUCCESS,856919679021
44:85:00:c5:67:37,1496395323172436,63,0,0,0,0,663,0,0,SUCCESS,856919702436
e4:b3:18:9f:c1:4e,1496395323312257,0,0,0,0,0,0,0,0,FAILURE,856919842257
e4:b3:18:9f:c1:99,1496395323482407,0,0,0,0,0,0,0,0,FAILURE,856920012407
e4:b3:18:9f:bf:af,1496395324293808,0,0,0,0,0,0,0,0,FAILURE,856920823808
e4:b3:18:9f:c0:36,1496395324293805,0,0,0,0,0,0,0,0,FAILURE,856920823805
e4:b3:18:9f:bf:96,1496395324293800,0,0,0,0,0,0,0,0,FAILURE,856920823800
e4:b3:18:9f:c1:8f,1496395324293860,0,0,0,0,0,0,0,0,FAILURE,856920823860
e4:b3:18:9f:c0:04,1496395324282325,61,0,0,0,0,1225,0,0,SUCCESS,856920812325
e4:b3:18:9f:c0:18,1496395324339819,82,0,0,0,0,2580,0,0,SUCCESS,856920869819
