mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:c1:8f,1496399984005152,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399983993907,70,0,0,0,0,1453,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399984042834,83,0,0,0,0,2926,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399984567561,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399984567558,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399984567549,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399984567546,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399984607936,83,0,0,0,0,1081,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399984901922,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:a8,1496399984749162,71,0,0,0,0,595,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399984762054,62,0,0,0,0,410,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399984901915,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399985072084,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399985879748,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399985879743,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399985879739,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399985879731,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399985867400,71,0,0,0,0,1479,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399985919747,82,0,0,0,0,2822,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399986446656,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399986446572,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399986446568,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496399986446561,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496399986485549,83,0,0,0,0,896,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496399986778634,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:a8,1496399986626534,72,0,0,0,0,597,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496399986639067,63,0,0,0,0,414,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496399986778534,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496399986949951,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496399987759641,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496399987759635,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496399987759631,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496399987759622,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496399987747355,70,0,0,0,0,1572,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496399987801980,83,0,0,0,0,2856,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496399988326897,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496399988326886,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496399988326879,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
