mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:c3:63:15,1496393073094740,0,0,0,0,0,0,0,0,FAILURE,8.5467E+11
e4:b3:18:9f:bf:a5,1496393073117525,64,0,0,0,0,708,0,0,SUCCESS,8.5467E+11
e4:b3:18:9f:c1:8a,1496393073130257,68,0,0,0,0,1235,0,0,SUCCESS,8.5467E+11
e4:b3:18:9f:bf:91,1496393073151529,62,0,0,0,0,656,0,0,SUCCESS,8.5467E+11
44:85:00:c5:6b:6f,1496393073419565,0,0,0,0,0,0,0,0,FAILURE,8.5467E+11
e4:b3:18:9f:c1:53,1496393073419565,0,0,0,0,0,0,0,0,FAILURE,8.5467E+11
44:85:00:c5:6b:7e,1496393074087930,0,0,0,0,0,0,0,0,FAILURE,8.54671E+11
44:85:00:c5:6a:e8,1496393074087927,0,0,0,0,0,0,0,0,FAILURE,8.54671E+11
e4:b3:18:9f:c0:d6,1496393074087953,0,0,0,0,0,0,0,0,FAILURE,8.54671E+11
44:85:00:c5:6a:de,1496393074087917,0,0,0,0,0,0,0,0,FAILURE,8.54671E+11
44:85:00:c5:6b:10,1496393074087930,0,0,0,0,0,0,0,0,FAILURE,8.54671E+11
e4:b3:18:9f:bf:f5,1496393074253171,0,0,0,0,0,0,0,0,FAILURE,8.54671E+11
44:85:00:c5:6a:fc,1496393076283905,73,0,0,0,0,2567,0,0,SUCCESS,8.54673E+11
44:85:00:c5:69:da,1496393076693652,0,0,0,0,0,0,0,0,FAILURE,8.54673E+11
44:85:00:c5:6b:74,1496393076693648,0,0,0,0,0,0,0,0,FAILURE,8.54673E+11
44:85:00:c5:6b:83,1496393076553543,67,0,0,0,0,229,0,0,SUCCESS,8.54673E+11
e4:b3:18:c3:63:15,1496393076693641,0,0,0,0,0,0,0,0,FAILURE,8.54673E+11
e4:b3:18:9f:bf:a5,1496393076740861,64,0,0,0,0,762,0,0,SUCCESS,8.54673E+11
e4:b3:18:9f:c1:8a,1496393076753118,61,0,0,0,0,1239,0,0,SUCCESS,8.54673E+11
e4:b3:18:9f:bf:91,1496393076765398,63,0,0,0,0,876,0,0,SUCCESS,8.54673E+11
44:85:00:c5:6b:6f,1496393077033744,0,0,0,0,0,0,0,0,FAILURE,8.54674E+11
e4:b3:18:9f:c1:53,1496393077033739,0,0,0,0,0,0,0,0,FAILURE,8.54674E+11
44:85:00:c5:6b:7e,1496393077710907,0,0,0,0,0,0,0,0,FAILURE,8.54674E+11
44:85:00:c5:6a:e8,1496393077710903,0,0,0,0,0,0,0,0,FAILURE,8.54674E+11
e4:b3:18:9f:c0:d6,1496393077710899,0,0,0,0,0,0,0,0,FAILURE,8.54674E+11
44:85:00:c5:6a:de,1496393077710893,0,0,0,0,0,0,0,0,FAILURE,8.54674E+11
44:85:00:c5:6b:10,1496393077710891,0,0,0,0,0,0,0,0,FAILURE,8.54674E+11
e4:b3:18:9f:bf:f5,1496393077748443,79,0,0,0,0,1784,0,0,SUCCESS,8.54674E+11
44:85:00:c5:6a:fc,1496393079788595,68,0,0,0,0,2501,0,0,SUCCESS,8.54676E+11
44:85:00:c5:69:da,1496393080196930,0,0,0,0,0,0,0,0,FAILURE,8.54677E+11
44:85:00:c5:6b:74,1496393080196926,0,0,0,0,0,0,0,0,FAILURE,8.54677E+11
44:85:00:c5:6b:83,1496393080057224,69,0,0,0,0,217,0,0,SUCCESS,8.54677E+11
e4:b3:18:c3:63:15,1496393080196917,0,0,0,0,0,0,0,0,FAILURE,8.54677E+11
e4:b3:18:9f:bf:a5,1496393080234557,59,0,0,0,0,848,0,0,SUCCESS,8.54677E+11
e4:b3:18:9f:c1:8a,1496393080246720,59,0,0,0,0,1064,0,0,SUCCESS,8.54677E+11
e4:b3:18:9f:bf:91,1496393080258759,65,0,0,0,0,820,0,0,SUCCESS,8.54677E+11
44:85:00:c5:6b:6f,1496393080527065,0,0,0,0,0,0,0,0,FAILURE,8.54677E+11
e4:b3:18:9f:c1:53,1496393080527092,0,0,0,0,0,0,0,0,FAILURE,8.54677E+11
44:85:00:c5:6b:7e,1496393081206573,0,0,0,0,0,0,0,0,FAILURE,8.54678E+11
44:85:00:c5:6a:e8,1496393081206632,0,0,0,0,0,0,0,0,FAILURE,8.54678E+11
e4:b3:18:9f:c0:d6,1496393081206563,0,0,0,0,0,0,0,0,FAILURE,8.54678E+11
44:85:00:c5:6a:de,1496393081206559,0,0,0,0,0,0,0,0,FAILURE,8.54678E+11
44:85:00:c5:6b:10,1496393081206570,0,0,0,0,0,0,0,0,FAILURE,8.54678E+11
e4:b3:18:9f:bf:f5,1496393081244474,78,0,0,0,0,1988,0,0,SUCCESS,8.54678E+11
44:85:00:c5:6a:fc,1496393083285768,65,0,0,0,0,2493,0,0,SUCCESS,8.5468E+11
44:85:00:c5:69:da,1496393083694136,0,0,0,0,0,0,0,0,FAILURE,8.5468E+11
44:85:00:c5:6b:74,1496393083694131,0,0,0,0,0,0,0,0,FAILURE,8.5468E+11
44:85:00:c5:6b:83,1496393083554655,65,0,0,0,0,214,0,0,SUCCESS,8.5468E+11
e4:b3:18:c3:63:15,1496393083694127,0,0,0,0,0,0,0,0,FAILURE,8.5468E+11
e4:b3:18:9f:bf:a5,1496393083733715,63,0,0,0,0,812,0,0,SUCCESS,8.5468E+11
e4:b3:18:9f:c1:8a,1496393083746013,65,0,0,0,0,1264,0,0,SUCCESS,8.5468E+11
e4:b3:18:9f:bf:91,1496393083758363,69,0,0,0,0,968,0,0,SUCCESS,8.5468E+11
